transactionType,transactionId,cardNumber,amount,Stan,currencyCode,transactionDate,transactionTime,responseCode,accountType,authorizationCode,merchantId,merchantCategoryCode,terminalId,cardExpiryDate,cardholderName,accountHolderName,transactionFee,authorizationIndicator,acquirerBin,issuerBin,merchantName,transactionCode,reasonCode,rrn,originalTransactionId,acquirerReferenceNumber,batchNumber,dateOfSettlement,settlementAmount,issuerResponseCode,transactionOrigin,transactionReference,originalTransactionAmount,refundAmount,adjustmentAmount,loyaltyPointsEarned,loyaltyPointsRedeemed,reversalIndicator,authorizationDateTime,originalAuthorizationCode,narrative
AUTHORIZATION,TXN1743325830246017882,4024007198765435,0,641897,356,3/23/2025,10:00:00,0,Savings,AUTH3111,MERCHANT20,5411,TERM8,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,LocalMarket,SALE,0,20250897463,nan,123ABC,BATCH001,3/24/2025,8672.13,0,Online,REF8677,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325812574010282,4532756278912349,0,972744,356,3/23/2025,10:00:00,0,Savings,AUTH3039,MERCHANT71,5411,TERM2,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,MegaShop,SALE,0,20250890112,nan,123ABC,BATCH001,3/24/2025,9745.87,0,Online,REF5995,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325881245046345,4532756278912346,0,875464,356,3/23/2025,10:00:00,0,Savings,AUTH4739,MERCHANT3,5411,TERM4,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,QuickStore,SALE,0,20250895928,nan,123ABC,BATCH001,3/24/2025,9124.59,0,Online,REF2447,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CAPTURE,TXN1743325867433038516,4024007198765434,0,363065,356,3/23/2025,10:00:00,0,Savings,AUTH8277,MERCHANT46,5411,TERM5,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,QuickStore,SALE,0,20250898095,nan,123ABC,BATCH001,3/24/2025,5627.65,0,Online,REF2092,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REFUND,TXN1743325845465023447,4532756278912346,0,467102,356,3/23/2025,10:00:00,0,Savings,AUTH1522,MERCHANT20,5411,TERM6,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,LocalMarket,SALE,0,20250893027,nan,123ABC,BATCH001,3/24/2025,2226.62,0,Online,REF9274,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REFUND,TXN1743325855587030773,4024007198765436,0,874281,356,3/23/2025,10:00:00,0,Savings,AUTH7922,MERCHANT51,5411,TERM0,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,LocalMarket,SALE,0,20250890353,nan,123ABC,BATCH001,3/24/2025,1701.96,0,Online,REF6941,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325883967047567,4532756278912347,0,338339,356,3/23/2025,10:00:00,0,Savings,AUTH8972,MERCHANT55,5411,TERM6,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,SuperMart,SALE,0,20250897149,nan,123ABC,BATCH001,3/24/2025,8007.02,0,Online,REF1170,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325812573009995,4024007198765432,0,839501,356,3/23/2025,10:00:00,0,Savings,AUTH5148,MERCHANT40,5411,TERM8,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,SuperMart,SALE,0,20250899995,nan,123ABC,BATCH001,3/24/2025,8431.97,0,Online,REF6651,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325875538042355,4532756278912345,0,318080,356,3/23/2025,10:00:00,0,Savings,AUTH2384,MERCHANT98,5411,TERM5,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,LocalMarket,SALE,0,20250891937,nan,123ABC,BATCH001,3/24/2025,4149.31,0,Online,REF6744,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325844197021892,4024007198765434,0,867732,356,3/23/2025,10:00:00,0,Savings,AUTH3129,MERCHANT50,5411,TERM4,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,MegaShop,SALE,0,20250891472,nan,123ABC,BATCH001,3/24/2025,112.53,0,Online,REF8233,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325886834050161,4234567812345670,0,399713,356,3/23/2025,10:00:00,0,Savings,AUTH6818,MERCHANT11,5411,TERM0,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,SuperMart,SALE,0,20250899743,nan,123ABC,BATCH001,3/24/2025,4027.31,0,Online,REF7384,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
PURCHASE,TXN1743325809732008130,4532756278912346,0,431240,356,3/23/2025,10:00:00,0,Savings,AUTH9010,MERCHANT79,5411,TERM2,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,QuickStore,SALE,0,20250898130,nan,123ABC,BATCH001,3/24/2025,9062.01,0,Online,REF5459,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325844197022348,4234567812345675,0,769414,356,3/23/2025,10:00:00,0,Savings,AUTH4784,MERCHANT3,5411,TERM4,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,SuperMart,SALE,0,20250891929,nan,123ABC,BATCH001,3/24/2025,9635.18,0,Online,REF375,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325878534043630,4532756278912345,0,565366,356,3/23/2025,10:00:00,0,Savings,AUTH2439,MERCHANT8,5411,TERM4,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,SuperMart,SALE,0,20250893212,nan,123ABC,BATCH001,3/24/2025,9947.14,0,Online,REF1088,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REVERSAL,TXN1743325806742006202,4532756278912347,0,551939,356,3/23/2025,10:00:00,0,Savings,AUTH5502,MERCHANT18,5411,TERM5,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,MegaShop,SALE,0,20250896201,nan,123ABC,BATCH001,3/24/2025,1264.38,0,Online,REF9549,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
BALANCE_TRANSFER,TXN1743325872326041500,4024007198765432,0,370909,356,3/23/2025,10:00:00,0,Savings,AUTH5407,MERCHANT16,5411,TERM0,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,GlobalRetail,SALE,0,20250891082,nan,123ABC,BATCH001,3/24/2025,8951.35,0,Online,REF5317,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
BALANCE_TRANSFER,TXN1743325845465023500,4234567812345673,0,480989,356,3/23/2025,10:00:00,0,Savings,AUTH9784,MERCHANT73,5411,TERM3,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,MegaShop,SALE,0,20250893081,nan,123ABC,BATCH001,3/24/2025,4138.78,0,Online,REF5256,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325882614047060,4532756278912349,0,416929,356,3/23/2025,10:00:00,0,Savings,AUTH8074,MERCHANT24,5411,TERM9,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,LocalMarket,SALE,0,20250896640,nan,123ABC,BATCH001,3/24/2025,7010.12,0,Online,REF5630,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325854387030427,4024007198765434,0,457705,356,3/23/2025,10:00:00,0,Savings,AUTH4739,MERCHANT96,5411,TERM6,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,QuickStore,SALE,0,20250890009,nan,123ABC,BATCH001,3/24/2025,803.17,0,Online,REF6009,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
AUTHORIZATION,TXN1743325851843027941,4234567812345675,0,304491,356,3/23/2025,10:00:00,0,Savings,AUTH2008,MERCHANT59,5411,TERM6,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,MegaShop,SALE,0,20250897522,nan,123ABC,BATCH001,3/24/2025,2815.83,0,Online,REF7903,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REVERSAL,TXN1743325858310032559,4532756278912346,0,57013,356,3/23/2025,10:00:00,0,Savings,AUTH6278,MERCHANT40,5411,TERM2,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,GlobalRetail,SALE,0,20250892140,nan,123ABC,BATCH001,3/24/2025,8741.42,0,Online,REF6112,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
